logz logzerr logvol nlive logl logwt insert_order
-2.752754344440284185e+05 1.208659384332802802e+03 -1.650000000000000910e-01 4.000000000000000000e+02 -2.739996098976770299e+05 -2.740057676119637326e+05 nan
-2.740057676119637326e+05 1.539693543953109383e+03 -1.675000000000000933e-01 4.000000000000000000e+02 -2.719593840785211651e+05 -2.719655442928078701e+05 nan
-2.719655442928078701e+05 2.236694242537582795e+03 -1.700000000000000955e-01 4.000000000000000000e+02 -2.708631197080966667e+05 -2.708692824223833741e+05 nan
-2.708692824223833741e+05 1.394162705403609834e+03 -1.725000000000000977e-01 4.000000000000000000e+02 -2.704827513083362719e+05 -2.704889165226229816e+05 nan
-2.704889165226229816e+05 1.540831832613238703e+03 -1.750000000000000999e-01 4.000000000000000000e+02 -2.702441708178364788e+05 -2.702503385321231908e+05 nan
-2.702503385321231908e+05 4.712360969434390654e+02 -1.775000000000001021e-01 4.000000000000000000e+02 -2.695672029772126698e+05 -2.695733731914993841e+05 nan
-2.695733731914993841e+05 6.657363314672443266e+02 -1.800000000000001044e-01 4.000000000000000000e+02 -2.679812268553697504e+05 -2.679873995696564671e+05 nan
-2.679873995696564671e+05 1.175962642720418444e+03 -1.825000000000001066e-01 4.000000000000000000e+02 -2.658234096184513182e+05 -2.658295848327380372e+05 nan
-2.658295848327380372e+05 8.040835421268606069e+02 -1.850000000000001088e-01 4.000000000000000000e+02 -2.652216764560555457e+05 -2.652278541703422088e+05 nan
-2.652278541703422088e+05 9.562337920916634175e+02 -1.875000000000001110e-01 4.000000000000000000e+02 -2.641565965661748196e+05 -2.641627767804614850e+05 nan
-2.641627767804614850e+05 1.105273423197770626e+03 -1.900000000000001132e-01 4.000000000000000000e+02 -2.639504628841501544e+05 -2.639566455984368222e+05 nan
-2.639566455984368222e+05 8.848607912590523483e+01 -1.925000000000001155e-01 4.000000000000000000e+02 -2.638289650083049783e+05 -2.638351502225916483e+05 nan
-2.638351502225916483e+05 1.195399152674154237e+02 -1.950000000000001177e-01 4.000000000000000000e+02 -2.617802205692961288e+05 -2.617864082835828303e+05 nan
-2.617864082835828303e+05 1.035332144764274062e+03 -1.975000000000001199e-01 4.000000000000000000e+02 -2.612608781518464675e+05 -2.612670683661331714e+05 nan
-2.612670683661331714e+05 7.102974920099898100e+02 -2.000000000000001221e-01 4.000000000000000000e+02 -2.587653947136608185e+05 -2.587715874279474956e+05 nan
-2.587715874279474956e+05 1.345693383689515485e+03 -2.025000000000001243e-01 4.000000000000000000e+02 -2.546266406277896895e+05 -2.546328358420763689e+05 nan
-2.546328358420763689e+05 2.897390584259642765e+03 -2.050000000000001266e-01 4.000000000000000000e+02 -2.543919476535465219e+05 -2.543981453678332036e+05 nan
