weight logl gamma delta nu_max
0.000000000000000000e+00 -2.669744197841763380e+05 1.232160769711504456e-01 5.135150977635363212e-01 6.491496925471237356e-01
0.000000000000000000e+00 -2.663388903025442269e+05 2.501131122895176029e-01 7.604557309659493169e-01 1.644788327108471782e-01
0.000000000000000000e+00 -2.653293349300757400e+05 2.683391043045293411e-01 8.194682132607356007e-01 1.989696123089702562e-01
0.000000000000000000e+00 -2.645658434281875379e+05 8.305363640909613210e-03 3.109988175590485682e-01 2.514081200696828278e-01
0.000000000000000000e+00 -2.642893821444360656e+05 1.125350093506662930e-01 3.946770168664112122e-01 5.063731375160418491e-01
0.000000000000000000e+00 -2.637888924262983492e+05 7.389353260690245673e-02 1.735492593631665637e-01 5.511424054914734194e-01
0.000000000000000000e+00 -2.635486648044895846e+05 6.790796090830064635e-02 1.502803019471291579e-01 6.327619323595286005e-01
0.000000000000000000e+00 -2.635123962915528100e+05 2.785057858929427255e-01 9.266240923308377564e-01 5.038022005561635375e-01
0.000000000000000000e+00 -2.633611012726272456e+05 8.686359224389134104e-01 3.407493221390095473e-01 2.651569908180528845e-02
0.000000000000000000e+00 -2.630430327019565157e+05 3.091262952280666720e-01 9.134908838512014739e-01 2.922222917310839385e-01
0.000000000000000000e+00 -2.629179890951446141e+05 4.976472752825981116e-01 9.993032735933765620e-01 3.696234424035587107e-01
0.000000000000000000e+00 -2.606598744666099083e+05 1.490049784062854599e-01 6.589085767723401599e-01 8.188644095941124412e-01
0.000000000000000000e+00 -2.594397340024063888e+05 1.260239051334188787e-01 5.672512266033370443e-01 9.230070490390002158e-01
0.000000000000000000e+00 -2.576745527044686896e+05 8.079937746565812873e-02 9.811025108818480778e-01 4.725069988649005515e-01
0.000000000000000000e+00 -2.574610382898169046e+05 9.920045556585044277e-02 2.658083751181681276e-01 4.574901641344795156e-01
0.000000000000000000e+00 -2.567984246080038138e+05 3.021394451945088599e-01 9.464783346106564466e-01 5.866036179834037689e-01
0.000000000000000000e+00 -2.564644349495078495e+05 1.585441924122392710e-01 5.421819805068297526e-01 3.946482852428304655e-01
0.000000000000000000e+00 -2.557544520782689506e+05 6.874403414181096128e-02 1.529111369352142979e-01 8.538290875220297949e-01
0.000000000000000000e+00 -2.556595774846012646e+05 2.865245505508647872e-01 7.063538417182553264e-01 8.954813712348497212e-02
0.000000000000000000e+00 -2.530207442463904736e+05 3.977590193782525319e-01 9.478310804805535339e-01 1.641547939225381780e-01
0.000000000000000000e+00 -2.526326268615512818e+05 2.574541554139315735e-01 5.739964691044016076e-01 1.022510500499104191e-01
0.000000000000000000e+00 -2.523878604152994521e+05 1.532321893176596950e-01 5.785198825631081565e-01 6.569742034900041272e-01
0.000000000000000000e+00 -2.521461405974296504e+05 9.709757346506198150e-02 1.174451546396617641e-01 1.246869153609965197e-01
0.000000000000000000e+00 -2.514760659205031116e+05 1.349202753733113047e-01 2.603363683969539544e-01 1.504636845621846186e-01
0.000000000000000000e+00 -2.503390896087028668e+05 6.912103215508946796e-03 8.715197137992958254e-02 3.273026059303879576e-01
0.000000000000000000e+00 -2.495201802185592824e+05 3.121531730070720156e-01 4.798014426182017900e-01 4.354991759663118245e-02
0.000000000000000000e+00 -2.476149288969022455e+05 8.948006528473684273e-02 9.401622903121253927e-01 2.400415292286123270e-01
0.000000000000000000e+00 -2.470656969870792236e+05 4.202067309424850627e-02 7.973306181840578155e-01 2.455429985573015506e-01
0.000000000000000000e+00 -2.461417943086916057e+05 5.625993260257655670e-02 7.363195953226532309e-01 7.824274287874410927e-02
0.000000000000000000e+00 -2.458487190927442862e+05 7.262188263773228236e-03 1.457989826891211704e-01 1.531650469430596573e-01
0.000000000000000000e+00 -2.454025249013564317e+05 2.777644102527894177e-01 4.741173699127232410e-01 6.447598419315792029e-02
0.000000000000000000e+00 -2.448500077775292448e+05 2.565107057341997621e-01 8.410059350962504343e-01 5.503401754086310049e-01
0.000000000000000000e+00 -2.440341474907041120e+05 5.183440572191144735e-02 8.914570267509892565e-01 5.921398475877622802e-01
0.000000000000000000e+00 -2.432101213500659796e+05 3.570252678383569744e-01 8.119208559337602882e-01 1.499688149637469214e-01
0.000000000000000000e+00 -2.431682509117703885e+05 2.598534143724599010e-01 8.778166484423736149e-01 7.226796125222596512e-01
0.000000000000000000e+00 -2.430672806460486609e+05 4.224349105092850554e-01 7.952322406338007132e-01 6.278829121708295880e-02
0.000000000000000000e+00 -2.419235540106765693e+05 1.706640530014604806e-01 5.920437627160781702e-01 6.773927713327930755e-01
0.000000000000000000e+00 -2.402753072753337037e+05 8.695203348324100912e-01 6.426217150347877105e-01 3.193937485449771518e-02
0.000000000000000000e+00 -2.396739603828624822e+05 7.214174458971922554e-02 9.197000079645044623e-01 5.474530251352504040e-01
0.000000000000000000e+00 -2.394527818082228769e+05 9.977849299268197747e-01 3.296598362156299977e-01 9.304276110737426109e-01
0.000000000000000000e+00 -2.378606567624143499e+05 2.048342586534704912e-01 5.364175402754691735e-01 2.825209260956949020e-01
0.000000000000000000e+00 -2.370480320108732267e+05 5.502139402390748835e-02 7.226977995369207042e-01 2.573279176970441062e-01
0.000000000000000000e+00 -2.355897455212644709e+05 1.658482477818378209e-01 5.006416671594903223e-01 6.040958781065779437e-01
0.000000000000000000e+00 -2.354636182932590600e+05 3.212245572265255422e-01 9.036083708926255786e-01 5.332009611602414045e-01
0.000000000000000000e+00 -2.343680059155340132e+05 3.238000446632208762e-01 8.569458700525613981e-01 3.607775964024138027e-01
0.000000000000000000e+00 -2.343484944174386037e+05 5.248050847390117735e-02 7.636518622552731506e-01 5.698490377127533035e-01
0.000000000000000000e+00 -2.338604290101738006e+05 3.609671656758607350e-01 8.163664418029886738e-01 1.922650694979773922e-01
0.000000000000000000e+00 -2.337954447495999921e+05 2.725723763545006006e-01 8.547651137628178297e-01 6.868796630867016750e-01
0.000000000000000000e+00 -2.335618309534880682e+05 4.244273223827785824e-01 8.893784592454361260e-01 1.846675276909142127e-01
0.000000000000000000e+00 -2.327897182436422154e+05 3.940949469016049589e-01 8.971248942370713131e-01 2.555176272881223287e-01
0.000000000000000000e+00 -2.324816448031194741e+05 1.480401902303094541e-01 4.196221908871429207e-01 6.949935491521657127e-01
0.000000000000000000e+00 -2.310885889991280274e+05 1.231640416858178488e-01 2.723025848007439853e-01 6.369262437309040070e-01
0.000000000000000000e+00 -2.285328750515073771e+05 1.233785963038158684e-01 2.590805302694966228e-01 6.478173402877626108e-01
0.000000000000000000e+00 -2.279691783852013177e+05 2.349322920689329575e-01 6.111936503588243363e-01 3.664831510370474277e-01
0.000000000000000000e+00 -2.272750510770166584e+05 3.031776614732178965e-01 5.534217391124045538e-01 1.251435181144481268e-01
0.000000000000000000e+00 -2.266070988843363884e+05 2.012653853579357000e-01 4.133756538784029155e-01 2.490795775605854079e-01
0.000000000000000000e+00 -2.261492603190225782e+05 1.529719102916858864e-01 3.389184633007055192e-01 5.034027343347066141e-01
0.000000000000000000e+00 -2.252667134098890238e+05 1.336857505120913059e-01 2.830637164471607736e-01 6.402796734744452545e-01
0.000000000000000000e+00 -2.247600666154684441e+05 3.736421088918311373e-01 9.714588905739965918e-01 8.994492657332638919e-01
0.000000000000000000e+00 -2.239172877662873943e+05 2.067988683659959248e-01 6.829350346850601161e-01 9.016121831071962633e-01
0.000000000000000000e+00 -2.233010099179355602e+05 1.629919246447825154e-01 3.503091667219779826e-01 4.737507704376069384e-01
0.000000000000000000e+00 -2.231397230099049921e+05 2.769545052898695348e-01 8.114121280361302757e-01 6.945928286831773990e-01
0.000000000000000000e+00 -2.211203021012981189e+05 2.498751726085717273e-01 6.257865758158506209e-01 4.110583133325895755e-01
0.000000000000000000e+00 -2.206307903798576153e+05 6.671692410580924992e-01 5.254008172063191484e-01 3.792125701256454651e-02
0.000000000000000000e+00 -2.203904510802730510e+05 4.872448845136113649e-01 9.514169471217326368e-01 3.035235907888939044e-01
0.000000000000000000e+00 -2.192304039910729916e+05 3.480905700689308491e-01 8.081051569708633808e-01 3.351579735030522089e-01
0.000000000000000000e+00 -2.187268049084768572e+05 5.946319205750174586e-01 8.535314981755885988e-01 9.102750824152394671e-02
0.000000000000000000e+00 -2.185202348193918879e+05 2.081407525238421208e-01 7.266843699512374188e-01 9.944519376629683549e-01
0.000000000000000000e+00 -2.177313111651939980e+05 2.778434955282146346e-01 8.303345078377838417e-01 8.652384461711951635e-01
0.000000000000000000e+00 -2.168683431286640698e+05 2.360900076702883155e-01 5.916065938896369891e-01 5.169765008848503651e-01
0.000000000000000000e+00 -2.168474146549624274e+05 8.826163411358124433e-01 8.331265617696118619e-01 3.950369313595192278e-02
0.000000000000000000e+00 -2.162955792481995013e+05 9.419259178570985602e-01 6.914658120826833176e-02 2.825108131104037135e-02
0.000000000000000000e+00 -2.159851541818473779e+05 1.821837337641508681e-01 3.535758793312303583e-01 4.327515345759610499e-01
0.000000000000000000e+00 -2.158287320516140026e+05 3.700695103429678667e-01 9.027311041310803752e-01 5.890696948167143399e-01
0.000000000000000000e+00 -2.156737856442909397e+05 1.804009260556823646e-01 2.948020923406691196e-01 3.138093561709537349e-01
0.000000000000000000e+00 -2.153364457351340097e+05 2.322861677591432361e-01 7.360608311837150142e-01 9.556828783694724105e-01
0.000000000000000000e+00 -2.151401422919509641e+05 2.911287572088842035e-01 8.122983272271796507e-01 7.577736281583015154e-01
0.000000000000000000e+00 -2.148185539333768247e+05 8.104313488479097938e-02 7.012537907934379700e-02 9.365805189226351635e-01
0.000000000000000000e+00 -2.146030785886337108e+05 1.599316102046668409e-01 1.701485074496819072e-01 2.029262025938594061e-01
0.000000000000000000e+00 -2.140875226240950287e+05 3.777690963029630700e-01 9.462173757624852133e-01 8.402503629629051174e-01
0.000000000000000000e+00 -2.131726914951835643e+05 2.966137352143174422e-01 6.906596305628044385e-01 4.072021174229908391e-01
0.000000000000000000e+00 -2.129335932217181835e+05 6.926936217493917525e-02 2.379615137554613735e-02 5.957655555321385021e-01
0.000000000000000000e+00 -2.120204394536665932e+05 1.398167030301947777e-01 2.613186261208939598e-01 8.323511498742587333e-01
0.000000000000000000e+00 -2.118611207048858632e+05 3.472716683324569287e-01 6.643513625000696532e-01 2.141196503827235142e-01
0.000000000000000000e+00 -2.115663918062799785e+05 2.515747298226330697e-01 6.412285198768815642e-01 6.376713194175969157e-01
0.000000000000000000e+00 -2.107954955042600632e+05 4.543209589337384724e-01 9.258694539645374588e-01 3.984065814588267918e-01
0.000000000000000000e+00 -2.103414208992670756e+05 3.309206802498646516e-01 8.268717112676098324e-01 6.280107179732115075e-01
0.000000000000000000e+00 -2.100400770046256075e+05 3.456764912731702388e-01 7.296162887189990842e-01 3.153342624170313302e-01
0.000000000000000000e+00 -2.098762560534764780e+05 3.766238918325206519e-01 8.684678360281525844e-01 5.194825181437877637e-01
0.000000000000000000e+00 -2.098195274970697355e+05 3.315519177501092818e-01 4.922627894447253460e-01 1.359851735228768677e-01
0.000000000000000000e+00 -2.086307127924468659e+05 5.922009233852855159e-01 9.720359682265670154e-01 2.816018557425249424e-01
0.000000000000000000e+00 -2.084003323334776214e+05 1.749135602039872950e-01 3.761887828015463286e-01 8.019910178651535881e-01
0.000000000000000000e+00 -2.061448986259092635e+05 3.053186116165581554e-01 4.909435838414333286e-01 1.962559361532194568e-01
0.000000000000000000e+00 -2.060188448374430009e+05 1.808073159997146684e-01 1.235891654772230952e-01 1.303694928136106546e-01
0.000000000000000000e+00 -2.045968398820334114e+05 4.215951051087339918e-01 6.522276228399532805e-01 1.456276734693322528e-01
0.000000000000000000e+00 -2.044412268324378820e+05 3.076739826267157474e-01 8.886569368345222930e-01 9.949790129359497026e-01
0.000000000000000000e+00 -2.041626330318949767e+05 2.244988416046870272e-01 4.407369749981419060e-01 5.328740149895689893e-01
0.000000000000000000e+00 -2.040394667194299691e+05 1.480715950053650420e-01 1.409939771919577201e-01 3.798802760394067723e-01
0.000000000000000000e+00 -2.040097613804420689e+05 4.034881202277652568e-01 6.865059014709784524e-01 1.912911760515226822e-01
0.000000000000000000e+00 -2.038405406645570183e+05 4.767556784838722361e-01 5.593944210359225178e-01 8.629586577068582010e-02
0.000000000000000000e+00 -2.036333572733309702e+05 4.071007835381335038e-01 7.565675516138798962e-01 2.548865623056405516e-01
0.000000000000000000e+00 -2.035269674119004922e+05 3.730759615484001701e-01 8.469722196331341824e-01 5.858590560639946876e-01
0.000000000000000000e+00 -2.034658042571329570e+05 5.336548674789985958e-01 7.951886772191020247e-01 1.319652535050738207e-01
0.000000000000000000e+00 -2.034548708415735164e+05 3.333248934807996333e-01 5.665029167543738087e-01 2.233457996225298725e-01
0.000000000000000000e+00 -2.033834411355255288e+05 9.982485745638600694e-01 5.640505003699813891e-01 8.123906980571468095e-01
0.000000000000000000e+00 -2.028160665333336219e+05 1.851547126601379434e-01 3.685685170644648068e-01 8.042901676442366643e-01
0.000000000000000000e+00 -2.026213372288908868e+05 2.336823591887356999e-01 5.104215518737654778e-01 6.758644390925708789e-01
0.000000000000000000e+00 -2.024925653482313501e+05 3.837135288903279484e-01 5.321428329552038150e-01 1.341818275206528854e-01
0.000000000000000000e+00 -2.024568693076824129e+05 2.866193683837161554e-01 3.497318101827271430e-01 1.523214570224059594e-01
0.000000000000000000e+00 -2.020156782761766226e+05 2.377209798914453609e-01 5.989203391018145251e-01 8.817348276900790482e-01
0.000000000000000000e+00 -2.015574731252683268e+05 8.642565872799552462e-01 9.782661928552468522e-01 8.344634851774612727e-02
0.000000000000000000e+00 -2.013955564610059082e+05 6.124539769338195327e-01 8.690242544812576408e-01 1.289315601973028969e-01
0.000000000000000000e+00 -2.007187472196216695e+05 5.577615609254081841e-01 8.720175644906316137e-01 1.756972746538193464e-01
0.000000000000000000e+00 -1.981725743486414431e+05 1.580247905549388987e-01 2.534948118902773384e-01 9.143943675039601926e-01
0.000000000000000000e+00 -1.976247332152080198e+05 1.921610525583503648e-01 3.724493823417822647e-01 8.749146001047314325e-01
0.000000000000000000e+00 -1.975133680395456322e+05 1.812551574587154546e-01 3.282410119852515740e-01 8.782663072473763100e-01
0.000000000000000000e+00 -1.964983011569197697e+05 2.343996685295075544e-01 5.770762942420950559e-01 9.575933683743909075e-01
0.000000000000000000e+00 -1.963636453872309066e+05 2.963635022851708323e-01 4.626886240792984495e-01 2.931074116281152664e-01
0.000000000000000000e+00 -1.962905356768323691e+05 1.039183742946244715e-01 4.955661162204527681e-02 7.136865211256633312e-01
0.000000000000000000e+00 -1.961287321823744278e+05 5.841388750094712590e-01 8.559414511663964165e-01 1.594559626242502137e-01
0.000000000000000000e+00 -1.955991229711837368e+05 4.368247549456112377e-01 8.938813261012642508e-01 5.954351589385340482e-01
0.000000000000000000e+00 -1.955285547610496578e+05 7.158247030679919520e-01 4.922086451865281820e-02 3.174031116879516556e-02
0.000000000000000000e+00 -1.952066929167437484e+05 4.863398011806230326e-01 9.527386572318587987e-01 6.905145856675440896e-01
0.000000000000000000e+00 -1.935860873738075315e+05 3.266693329122155598e-01 6.906451055562234931e-01 6.353940850725499079e-01
0.000000000000000000e+00 -1.934611296994850563e+05 3.348148416478715639e-01 2.539350054444552418e-01 9.625351469176146590e-02
0.000000000000000000e+00 -1.931420062084769015e+05 1.426201582274511104e-01 1.293798120655901274e-01 7.625155388818251057e-01
0.000000000000000000e+00 -1.928414300845426042e+05 4.818690750184830840e-01 8.643234015145011551e-01 3.678519178199973760e-01
0.000000000000000000e+00 -1.927005866648475931e+05 9.995713439885520746e-01 3.074656268303523898e-01 3.308406330745146118e-01
0.000000000000000000e+00 -1.923239403908946551e+05 3.294462272631089039e-01 4.779861605310534722e-01 2.576541978862552096e-01
0.000000000000000000e+00 -1.921136117759697663e+05 2.773741903016329058e-01 3.800153800508015989e-01 3.127790921605113628e-01
0.000000000000000000e+00 -1.921063794491580338e+05 4.161118840362846294e-01 6.064106064075275304e-01 1.963154100386588219e-01
0.000000000000000000e+00 -1.916409837006022863e+05 3.102103023804348991e-01 6.081103936787690678e-01 5.886932082679908751e-01
0.000000000000000000e+00 -1.909784759748567885e+05 2.476997029653028592e-01 3.421830200481389417e-01 4.256134084749614299e-01
0.000000000000000000e+00 -1.909558240645721962e+05 1.883726506437083392e-01 3.003979421613849343e-01 8.976996603386105944e-01
0.000000000000000000e+00 -1.907298997557771509e+05 1.827023980246715862e-01 3.227393358313289662e-01 9.773281177696013788e-01
0.000000000000000000e+00 -1.907042773031232646e+05 3.127341687606189913e-01 4.685790921319038516e-01 3.230034273596147365e-01
0.000000000000000000e+00 -1.903514303956573131e+05 4.120378163843403385e-01 6.253458252421769670e-01 2.330825319302319842e-01
0.000000000000000000e+00 -1.903396807735389739e+05 2.612013781067974438e-01 3.578046523024303038e-01 3.874936322920872200e-01
0.000000000000000000e+00 -1.899530511457722750e+05 3.106693177700480257e-01 7.916869817274617693e-01 9.900343288084419990e-01
0.000000000000000000e+00 -1.893790021846818854e+05 1.803052940877871713e-01 8.866966506595452824e-02 2.145382465994659649e-01
0.000000000000000000e+00 -1.893052830803131801e+05 1.756801805404600847e-01 1.718677478173832318e-01 6.184290543262221940e-01
0.000000000000000000e+00 -1.887571044974446122e+05 4.575199998759704734e-01 8.969613913402527672e-01 6.534600088144575381e-01
0.000000000000000000e+00 -1.885147058010189794e+05 3.097708104609990798e-01 2.506764673921937359e-01 1.370702136502396362e-01
0.000000000000000000e+00 -1.880251152668492578e+05 3.576158591629819972e-01 7.653914190211823509e-01 7.800820814226414601e-01
0.000000000000000000e+00 -1.876715267287291936e+05 3.351241961949606996e-01 6.574400081254940797e-01 6.463512361415147955e-01
0.000000000000000000e+00 -1.871157596740334120e+05 6.776233787921337459e-01 3.976425240346683765e-01 5.171923332776107163e-02
0.000000000000000000e+00 -1.869027665583512862e+05 8.763824120328651546e-01 9.772214991533768602e-01 1.088244481896617488e-01
0.000000000000000000e+00 -1.860908332726143708e+05 1.460873700246351214e-01 6.097813217556258270e-02 4.107195622283971170e-01
0.000000000000000000e+00 -1.854574942791540234e+05 3.855354981230564304e-01 8.235929258408785092e-01 8.454362368319949805e-01
0.000000000000000000e+00 -1.850922780100138334e+05 2.409027904194075420e-01 4.049432176291908325e-01 8.313986995154393211e-01
0.000000000000000000e+00 -1.848680877052699798e+05 3.279039750311040224e-01 6.821252389497520774e-01 8.323255847250157213e-01
0.000000000000000000e+00 -1.848637298313710780e+05 4.941646010168621039e-01 9.211891758614786374e-01 6.764561204832463259e-01
0.000000000000000000e+00 -1.847544470200385258e+05 1.699074517135246154e-01 7.284639050205476973e-02 2.909040011467013409e-01
0.000000000000000000e+00 -1.838345149105366727e+05 3.021750901418753799e-01 3.493619491021390244e-01 2.998092872576535450e-01
