gamma delta nu_max
5.404761204160917210e-01 4.036456768644294257e+00 6.021457084919624947e+01
4.414087645793081105e-01 2.873893861816966488e+00 3.968790734894858474e+01
5.035034230716814996e-01 3.722277775429292390e+00 1.177713985437519284e+01
4.711081460110533303e-01 3.505616289693459731e+00 5.039012010628983518e+01
4.776215903325757850e-01 3.836653294940119086e+00 4.849826546809781291e+01
4.801821460029960242e-01 3.576275237689867215e+00 8.798265506508514022e+01
5.469483368654943778e-01 4.088863172630816223e+00 5.135912300598920410e+01
5.485655244411964393e-01 4.095709024739333515e+00 3.323314913712038532e+01
5.432559682748536733e-01 4.135792420201783948e+00 2.094249046311431783e+01
4.096743707262939793e-01 3.589984737279569682e+00 3.411942087996208528e+01
5.293973336106410077e-01 3.911152117843253340e+00 9.733830186168303555e+01
4.801821460029960242e-01 3.576275237689867215e+00 8.798265506508514022e+01
5.276584257551401036e-01 4.020890031417883037e+00 3.647290055840245770e+01
4.551921792745525774e-01 3.526944964057198373e+00 5.576921461075961872e+01
5.034286959072558076e-01 3.531176470739097795e+00 8.379402470873448294e+01
5.300693885507242742e-01 4.101797977798382178e+00 3.504803363284906936e+01
4.805823594884575112e-01 3.524740188931618334e+00 4.584915774108338127e+01
4.874236304815113829e-01 3.633017787194240178e+00 6.173092314292360783e+01
4.359088366301406836e-01 3.349839918129291938e+00 4.705754928388901703e+01
5.291756762833139671e-01 3.929897516420810533e+00 8.133699380290713066e+01
4.766397203553380812e-01 3.655136570032758048e+00 6.538322446943726618e+01
4.921644536602602926e-01 3.875014474007542287e+00 2.873555959763183409e+01
4.297076466473155332e-01 2.900116338006646366e+00 8.429389706799828730e+01
3.969779848781864739e-01 3.565296066731100222e+00 2.930949701902735782e+01
2.350611928042760645e-01 2.424906075151104901e+00 4.677780097238143497e+01
4.936201040139172047e-01 3.884139156293015205e+00 4.347202345990435646e+01
5.197818518286348999e-01 3.989233741658144705e+00 5.455994800318279658e+01
5.357650454182337763e-01 3.957515922278739939e+00 5.197603946885930526e+01
4.261849937553758849e-01 3.548445637555793564e+00 6.081192908411343012e+01
4.752962973688601434e-01 3.715496228907195775e+00 6.123126623954614445e+01
4.728159507231619596e-01 3.539373480308507958e+00 9.726520196367742699e+01
5.366009805689939682e-01 3.922485596421251941e+00 3.556653330905427879e+01
4.877685633663479958e-01 3.402722967862044534e+00 2.720115266742046600e+01
3.593071790458819414e-01 3.302739689005805612e+00 2.211735968223812421e+01
4.225056997600369346e-01 3.442200262991081949e+00 5.079191931696785645e+01
4.908753800060863259e-01 3.733230202556524713e+00 2.358562957296678775e+01
5.055420481357095763e-01 3.822557978173181326e+00 6.643742295339347947e+01
4.486724198898979221e-01 3.421936369832040192e+00 4.246058836192266028e+01
4.301433021123604039e-01 3.542728110563694521e+00 4.788014077995488549e+01
5.425165844514696634e-01 3.991189626223676346e+00 6.762457074245338617e+01
4.727555988987552915e-01 3.700752465222338916e+00 2.537227190123957854e+01
4.540008922427725135e-01 3.304938271561150387e+00 6.716143500848792769e+01
3.531158671874909949e-01 3.140188401046739131e+00 3.011379342363673217e+01
4.752962973688601434e-01 3.715496228907195775e+00 6.123126623954614445e+01
4.900274368190156160e-01 3.807638622956786900e+00 6.585073628875805696e+01
4.393303360038394167e-01 3.259654620764914412e+00 6.457242452199926674e+01
5.597939852779105774e-01 4.185875025520861215e+00 2.081642395805534562e+01
4.461241701938318815e-01 3.654993598914934694e+00 2.544308685980212204e+00
3.896313965223696663e-01 3.221677643506446920e+00 1.289428775343969846e+01
5.162735748147473380e-01 3.842621074868261211e+00 4.995111524947847670e+01
3.586710246321835882e-01 2.963885626015565045e+00 3.631979825698180520e+01
5.197818518286348999e-01 3.989233741658144705e+00 5.455994800318279658e+01
4.929885890448089114e-01 3.768678551250684183e+00 4.181403585894062758e+01
3.593071790458819414e-01 3.302739689005805612e+00 2.211735968223812421e+01
5.395864244641874752e-01 4.011080254523102795e+00 6.789143423160899715e+01
4.946895962888098186e-01 3.626320246841567840e+00 8.612677130031133288e+01
4.830540831452254658e-01 3.418325903178131231e+00 5.465024784854102080e+01
5.031419736082958227e-01 3.601409191873608862e+00 2.975152265542151042e+01
4.872933697316701451e-01 4.012372409202094481e+00 2.263246941649713762e+01
4.778290267473517261e-01 3.730148471923334430e+00 6.235837757952671012e+01
4.611045085194693804e-01 3.772219001500107360e+00 4.463444451821814596e+01
5.276584257551401036e-01 4.020890031417883037e+00 3.647290055840245770e+01
3.344766851586684631e-01 3.342507055168259633e+00 1.119889186001464054e+01
4.155337736475879229e-01 3.417670508319689660e+00 3.881802829266557353e+01
4.128256177830498252e-01 3.253943780410523345e+00 4.977144977442313234e+01
4.305008351337780148e-01 3.204746617803233555e+00 3.607922760509661941e+01
4.116412608945774210e-01 3.034301757586053583e+00 6.916034461743912232e+01
4.776215903325757850e-01 3.836653294940119086e+00 4.849826546809781291e+01
3.614857935959232549e-01 3.708745913385933068e+00 7.683936821611020207e+00
4.711117009526657462e-01 3.704963251683205172e+00 8.570386940158552136e+01
4.266254122987902520e-01 3.481553542879900487e+00 2.358087261399860779e+01
4.909659723384951491e-01 3.441910893395042415e+00 4.084217727131041187e+01
5.039319007099700709e-01 3.838449503375241711e+00 8.480037629468831994e+01
5.363443202451807501e-01 4.020389947036432154e+00 7.498992620920559204e+01
4.424896354697689382e-01 3.514797231872324623e+00 6.800635405955760859e+01
5.395864244641874752e-01 4.011080254523102795e+00 6.789143423160899715e+01
4.797329832923695747e-01 3.793787128965508959e+00 4.570147465364384232e+01
4.302366795218530715e-01 3.230110617536990247e+00 1.271374490633269545e+02
5.149097397133182152e-01 3.950134875777809640e+00 1.907095868130888761e+01
4.155337736475879229e-01 3.417670508319689660e+00 3.881802829266557353e+01
4.356501633151508290e-01 3.235310079961343011e+00 3.070658709348451154e+01
4.771138061218096471e-01 3.713955423830580305e+00 5.217526844248359907e+01
5.275625351440842437e-01 4.286249384001405538e+00 2.214930627108539340e+01
4.551921792745525774e-01 3.526944964057198373e+00 5.576921461075961872e+01
5.154235777385376416e-01 3.806707568975029599e+00 6.068623924191187768e+01
4.983466206329119075e-01 3.838180117216037690e+00 3.261388120390869005e+01
5.087812144977413853e-01 4.318065866426460175e+00 1.526443833693846841e+00
3.344766851586684631e-01 3.342507055168259633e+00 1.119889186001464054e+01
4.766397203553380812e-01 3.655136570032758048e+00 6.538322446943726618e+01
4.266254122987902520e-01 3.481553542879900487e+00 2.358087261399860779e+01
3.787029180270717887e-01 3.231605118361335904e+00 6.164416262172551342e+01
4.315790226123532580e-01 3.426459368034429964e+00 1.165051959354351823e+02
5.225426856569966860e-01 4.067079303580381833e+00 4.103920300209307470e+01
3.910574947537477364e-01 3.215093078836833929e+00 9.286981711403048223e+01
4.912453971988701706e-01 3.588343340670939519e+00 3.568574336639576927e+01
3.970085285775926121e-01 2.602562177389185827e+00 1.075341069323838781e+02
5.151465069655158935e-01 3.865598582377546499e+00 8.380127526012975636e+01
4.393716161126919317e-01 3.088770218438231296e+00 9.412147253543129466e+01
4.988988036110977298e-01 3.645690039292997398e+00 2.075321092589661021e+01
4.779858036969781843e-01 3.414701447047015836e+00 6.883564360527245185e+01
4.912453971988701706e-01 3.588343340670939519e+00 3.568574336639576927e+01
4.726113983248556583e-01 3.556197274137844921e+00 5.332290624870195472e+01
5.366906151949296655e-01 4.121910519966340836e+00 1.679788645023057825e+01
4.962190380825182157e-01 3.770896614095978983e+00 7.938535616806197481e+01
5.032856450761371558e-01 3.707055849242490542e+00 5.564269006347706181e+01
4.797329832923695747e-01 3.793787128965508959e+00 4.570147465364384232e+01
4.436907608120055357e-01 3.511645144199610602e+00 4.026723165519273095e+01
4.888770145142742329e-01 3.782013983086003339e+00 5.908904918055809929e+01
4.741837833172872774e-01 3.506600064105314551e+00 1.051978495542567629e+02
4.140936097512657454e-01 3.081679971686491548e+00 4.219340495259869073e+01
4.461241701938318815e-01 3.654993598914934694e+00 2.544308685980212204e+00
4.811290893575492778e-01 3.463746511585474419e+00 8.378417430609661665e+01
5.200613376823515210e-01 3.890043793385502990e+00 8.345827979522249507e+01
4.114031476268080745e-01 2.975129882158546124e+00 8.375098593671407343e+01
3.649791230333991887e-01 3.352977511487230444e+00 1.484756169633161704e+01
5.291538279985308346e-01 3.825586459520704086e+00 3.610964791432979837e+01
5.151465069655158935e-01 3.865598582377546499e+00 8.380127526012975636e+01
4.969715412825930212e-01 3.792672645253909458e+00 2.833505795870042832e+01
5.116238729760579362e-01 3.680764989522893771e+00 8.614285879045371530e+01
5.201764604468739339e-01 3.947258811454054328e+00 6.736561935927254297e+01
4.255144525884186901e-01 2.975746842671315839e+00 6.716398683805137182e+01
5.053163905487896290e-01 3.887413376157494049e+00 6.362680193861706357e+00
4.329767880653918599e-01 3.155168341161293633e+00 5.971861267544269936e+01
3.843551129918645337e-01 3.353657091353889008e+00 5.590902941441203922e+01
5.640444865870569702e-01 4.223508169870509477e+00 4.136339843463406396e+01
5.039102508611262854e-01 4.024655898634748930e+00 1.641414960650659083e+01
5.515677692611057337e-01 4.131217676451647947e+00 5.191060023893484754e+01
5.383604266913333269e-01 3.983041832464714105e+00 1.626164409992239257e+01
5.616391714297925830e-01 4.213162786101262824e+00 2.366038381367901877e+01
5.468925126443727747e-01 4.090732915632528943e+00 4.997047917102658943e+01
4.618707365106013985e-01 3.434999973529152761e+00 7.098268520433136075e+01
3.239145145904636092e-01 2.549561506697910040e+00 7.831430946874984045e+01
4.009570449852672969e-01 3.674867946790440598e+00 1.336023986150352982e+01
4.838049190461624072e-01 3.683298249200812169e+00 7.025998957417147039e+01
4.046425428739244268e-01 3.382424057459664901e+00 6.965893370774580262e+01
4.128549552039197934e-01 3.083579771988206097e+00 5.596915283038445921e+01
3.044777224602273069e-01 3.384830431815431417e+00 1.980027398526765126e+00
4.399379838253998365e-01 3.215068422594424380e+00 6.749934533528629288e+01
5.616391714297925830e-01 4.213162786101262824e+00 2.366038381367901877e+01
5.275625351440842437e-01 4.286249384001405538e+00 2.214930627108539340e+01
5.366009805689939682e-01 3.922485596421251941e+00 3.556653330905427879e+01
4.116412608945774210e-01 3.034301757586053583e+00 6.916034461743912232e+01
4.105246364542629589e-01 3.347870611590316070e+00 7.174820003358436793e+01
4.105246364542629589e-01 3.347870611590316070e+00 7.174820003358436793e+01
4.832082720775618956e-01 3.721782612961523462e+00 1.241722684924801712e+01
4.728606164105080278e-01 3.832618656296272075e+00 3.015465668209666461e+01
3.977766903548307642e-01 3.198547228695569178e+00 1.004896498454091045e+02
4.449712888656687237e-01 3.460293292692519618e+00 6.197018185956230241e+01
4.251433193247309283e-01 3.517219904229327287e+00 7.198792932933451993e+01
3.781623781517042815e-01 3.359825792734287830e+00 4.975175243817997739e+01
3.875441124136849158e-01 3.462939198056318446e+00 3.141672225894711090e+01
4.764475796712142053e-01 3.575335911226316110e+00 5.204292019547798276e+01
5.260900349344841409e-01 4.052926514933676394e+00 3.679126841233943424e+01
5.390975813187030008e-01 3.968177877871587711e+00 6.825804345125783357e+01
4.509429922468146668e-01 3.214596265187037449e+00 7.256854086321007458e+01
4.479304598233493362e-01 3.689241651067421746e+00 5.564282841437150751e+01
5.542571777491163143e-01 4.135227973885990060e+00 1.210574456394490284e+01
5.461275189331624702e-01 4.079320610082494802e+00 6.636882260106578713e+01
4.779858036969781843e-01 3.414701447047015836e+00 6.883564360527245185e+01
4.832082720775618956e-01 3.721782612961523462e+00 1.241722684924801712e+01
3.302952507598742038e-01 2.766906236850541490e+00 3.527747460954138603e+00
5.053163905487896290e-01 3.887413376157494049e+00 6.362680193861706357e+00
4.779858036969781843e-01 3.414701447047015836e+00 6.883564360527245185e+01
4.412724356861064123e-01 3.309628270449836318e+00 5.490562924954331692e+01
5.441081392111086767e-01 4.052061183640814690e+00 7.936624299689614759e+01
5.457338106760414309e-01 4.025000644925206039e+00 5.457530243614349530e+01
4.302366795218530715e-01 3.230110617536990247e+00 1.271374490633269545e+02
5.053214260271488012e-01 3.792480156765458243e+00 3.131122192246644786e+01
5.017770936016647809e-01 3.862273056770550994e+00 1.042122701329626722e+01
5.053968730620004290e-01 3.772973387724268601e+00 6.376958046578660344e+01
3.265951300717180317e-01 3.095517499825652941e+00 2.430865365200333628e+01
4.305008351337780148e-01 3.204746617803233555e+00 3.607922760509661941e+01
3.987797135668067483e-01 3.269881381221050543e+00 5.187388186600583140e+01
5.427722232425625792e-01 4.020455318199265271e+00 7.610114975252605518e+01
4.844371568817102958e-01 3.592088244146732112e+00 7.224166349164860890e+01
4.711117009526657462e-01 3.704963251683205172e+00 8.570386940158552136e+01
4.393716161126919317e-01 3.088770218438231296e+00 9.412147253543129466e+01
5.050967401642467713e-01 3.781626213097668998e+00 5.510032654394080254e+01
